Idiom ID,English Idiom,English Sentence,Urdu Native Idiom,Target A (Native Idiomatic),Target B (Native Descriptive),Target C (Native Literal),Roman Urdu Idiom,Target A (Roman Idiomatic),Target B (Roman Descriptive),Target C (Roman Literal)
37,call the shots,"In our team, Jessica is the one who always calls the shots during meetings.",ڈورین اپنے ہاتھ میں رکھنا,"ہماری ٹیم میں، جیسیکا وہ ہے جو ہمیشہ میٹنگز کے دوران ڈورین اپنے ہاتھ میں رکھتی ہے۔","ہماری ٹیم میں، جیسیکا وہ ہے جو ہمیشہ میٹنگز کے دوران فیصلے کرتی ہے اور سب کچھ کنٹرول میں رکھتی ہے۔","ہماری ٹیم میں، جیسیکا وہ ہے جو ہمیشہ میٹنگز کے دوران کال کرتی ہے گولیاں۔",Dorian apne haath mein rakhna,"Hamari team mein, Jessica woh hai jo hamesha meetings ke dauran Dorian apne haath mein rakhti hai.","Hamari team mein, Jessica woh hai jo hamesha meetings ke dauran faislay karti hai aur sab kuch control mein rakhti hai.","Hamari team mein, Jessica woh hai jo hamesha meetings ke dauran call karti hai goliyan."
38,can't believe my ears,"When I heard that she won the lottery, I just couldn't believe my ears.",سن کر دنگ رہ جانا,جب میں نے سنا کہ وہ لاٹری جیت گئی ہے تو میں سن کر دنگ رہ گیا۔,جب میں نے سنا کہ وہ لاٹری جیت گئی ہے تو مجھے یقین ہی نہیں آیا۔,جب میں نے سنا کہ وہ لاٹری جیت گئی ہے تو میں اپنے کانوں پر یقین نہیں کر سکا۔,Sun kar dang reh jana,Jab maine suna ke woh lottery jeet gayi hai to main Sun kar dang reh gaya.,Jab maine suna ke woh lottery jeet gayi hai to mujhe yaqeen hi nahi aaya.,Jab maine suna ke woh lottery jeet gayi hai to main apne kanon par yaqeen nahi kar saka.
39,carry a torch (for someone),"Even after all these years, she still carries a torch for him despite his indifference.",یک طرفہ محبت,"اتنے سال گزر جانے کے باوجود، وہ اب بھی اس کے لیے یک طرفہ محبت رکھتی ہے، حالانکہ وہ اس کی پرواہ نہیں کرتا۔","اتنے سالوں کے بعد بھی وہ اس سے محبت کرتی ہے، حالانکہ وہ اس کے جذبات کا جواب نہیں دیتا۔","اتنے سالوں کے بعد بھی وہ اب بھی اس کے لیے مشعل اٹھائے پھرتی ہے، باوجود اس کے کہ وہ لاپرواہ ہے۔",yak tarfa muhabbat,"Itne saal guzar janay ke bawajood, woh ab bhi us ke liye yak tarfa muhabbat rakhti hai, halankeh woh us ki parwah nahi karta.","Itne saalon ke baad bhi woh us se mohabbat karti hai, halankeh woh us ke jazbaat ka jawab nahi deta.","Itne saalon ke baad bhi woh ab bhi us ke liye mashal uthaye phirti hai, bawajood is ke ke woh laparwah hai."
40,carry the can,"When the project failed, I had to carry the can for my team's mistakes.",بوجھ اٹھانا,"جب منصوبہ ناکام ہوا، تو مجھے اپنی ٹیم کی غلطیوں کا بوجھ اٹھانا پڑا۔","جب منصوبہ ناکام ہوا، تو مجھے اپنی ٹیم کی غلطیوں کی ذمہ داری قبول کرنی پڑی۔","جب منصوبہ ناکام ہوا، تو مجھے اپنی ٹیم کی غلطیوں کے لیے ڈبہ اٹھانا پڑا۔",bojh uthana,"Jab mansooba nakaam hua, to mujhe apni team ki ghaltiyon ka bojh uthana para.","Jab mansooba nakaam hua, to mujhe apni team ki ghaltiyon ki zimmedari qabool karni pari.","Jab mansooba nakaam hua, to mujhe apni team ki ghaltiyon ke liye dabba uthana para."
41,cause a stir,The unexpected announcement caused a stir among the audience.,کھلبلی مچ جانا,غیر متوقع اعلان نے سامعین میں کھلبلی مچا دی۔,غیر متوقع اعلان نے سامعین کو حیران اور پریشان کر دیا۔,غیر متوقع اعلان نے ایک ہلچل پیدا کی۔,khalbali mach jana,Ghair mutawaqqa elaan ne samayeen mein khalbali macha di.,Ghair mutawaqqa elaan ne samayeen ko hairan aur pareshan kar diya.,Ghair mutawaqqa elaan ne aik halchal paida ki.
42,cause an uproar,The unexpected announcement caused an uproar among the crowd.,ہنگامہ کھڑا کرنا,غیر متوقع اعلان نے ہجوم میں ہنگامہ کھڑا کر دیا۔,غیر متوقع اعلان نے ہجوم میں بہت شور اور ہلچل پیدا کر دی۔,غیر متوقع اعلان نے ایک شور پیدا کیا۔,hangama khara karna,Ghair mutawaqqa elaan ne hujoom mein hangama khara kar diya.,Ghair mutawaqqa elaan ne hujoom mein bohat shor aur halchal paida kar di.,Ghair mutawaqqa elaan ne aik shor paida kiya.
43,chew the fat,"After work, we like to chew the fat over a couple of beers.",گپ شپ کرنا,کام کے بعد ہم چند بیئر کے ساتھ گپ شپ کرنا پسند کرتے ہیں۔,کام کے بعد ہم چند بیئر کے ساتھ دوسروں کے معاملات پر باتیں کرنا پسند کرتے ہیں۔,کام کے بعد ہم چند بیئر کے ساتھ چربی چبانا پسند کرتے ہیں۔,gup shup karna,Kaam ke baad hum chand beer ke saath gup shup karna pasand karte hain.,Kaam ke baad hum chand beer ke saath doosron ke maamlaat par baatein karna pasand karte hain.,Kaam ke baad hum chand beer ke saath charbi chabana pasand karte hain.
44,clear the air,Let's have a conversation to clear the air about our recent misunderstandings.,مٹی پانا,آؤ ہم اپنی حالیہ غلط فہمیوں پر مٹی پائیں تاکہ دل صاف ہو جائے۔,آؤ ہم بات چیت کریں تاکہ ہماری حالیہ غلط فہمیاں اور الجھنیں دور ہو جائیں۔,آؤ ہم گفتگو کریں تاکہ ہوا صاف ہو جائے۔,mitti paana,Aao hum apni haaliya ghalat fehmiyon par mitti paain taake dil saaf ho jaye.,Aao hum baat cheet karein taake hamari haaliya ghalat fehmiyan aur uljhanen door ho jayein.,Aao hum guftagu karein taake hawa saaf ho jaye.
45,clear the decks,"Before we start the project, we need to clear the decks and ensure everything is in order.",راستہ صاف کرنا,پروجیکٹ شروع کرنے سے پہلے ہمیں راستہ صاف کرنا ہوگا اور یہ یقینی بنانا ہوگا کہ سب کچھ ترتیب میں ہے۔,پروجیکٹ شروع کرنے سے پہلے ہمیں تمام تیاری مکمل کرنی ہوگی اور یہ دیکھنا ہوگا کہ ہر چیز درست ہے۔,پروجیکٹ شروع کرنے سے پہلے ہمیں ڈیک صاف کرنا ہوگا اور یقین دہانی کرنی ہوگی کہ سب کچھ ٹھیک ہے۔,Raasta saaf karna,Project shuru karne se pehle humein Raasta saaf karna hoga aur yeh yaqini banana hoga ke sab kuch tarteeb mein hai.,Project shuru karne se pehle humein tamam tayyari mukammal karni hogi aur yeh dekhna hoga ke har cheez durust hai.,Project shuru karne se pehle humein deck saaf karna hoga aur yaqeen dahani karni hoga ke sab kuch theek hai.
46,climb (jump on/get on) on the band wagon,"After seeing how successful the new marketing strategy was, many companies decided to climb on the bandwagon.",بہتی گنگا میں ہاتھ دھونا,"جب کمپنیوں نے دیکھا کہ نئی مارکیٹنگ حکمتِ عملی کتنی کامیاب ہوئی ہے، تو بہت سی کمپنیوں نے بہتی گنگا میں ہاتھ دھونا شروع کر دیا۔","جب کمپنیوں نے دیکھا کہ نئی مارکیٹنگ حکمتِ عملی کتنی کامیاب ہوئی ہے، تو بہت سی کمپنیوں نے وہی طریقہ اپنانے کا فیصلہ کیا۔","جب کمپنیوں نے دیکھا کہ نئی مارکیٹنگ حکمتِ عملی کتنی کامیاب ہوئی ہے، تو بہت سی کمپنیوں نے بینڈ ویگن پر چڑھنے کا فیصلہ کیا۔",Behti ganga mein haath dhona,"Jab companyon ne dekha ke nai marketing hikmat-e-amli kitni kamyab hui hai, to bohat si companyon ne Behti ganga mein haath dhona shuru kar diya.","Jab companyon ne dekha ke nai marketing hikmat-e-amli kitni kamyab hui hai, to bohat si companyon ne wahi tareeqa apnane ka faisla kiya.","Jab companyon ne dekha ke nai marketing hikmat-e-amli kitni kamyab hui hai, to bohat si companyon ne band wagon par charhne ka faisla kiya."
47,climb (up) the walls,"After waiting for hours in the crowded room, I was climbing up the walls with anxiety.",پاگل ہو رہا تھا,گھنٹوں بھیڑ والے کمرے میں انتظار کرنے کے بعد میں بے چینی سے پاگل ہو رہا تھا۔,گھنٹوں بھیڑ والے کمرے میں انتظار کرنے کے بعد میں انتہائی بے چین اور گھبراہٹ میں مبتلا تھا۔,گھنٹوں بھیڑ والے کمرے میں انتظار کرنے کے بعد میں دیواروں پر چڑھ رہا تھا۔,pagal ho raha tha,Ghanton bheer walay kamray mein intezar karne ke baad main bechaini se pagal ho raha tha.,Ghanton bheer walay kamray mein intezar karne ke baad main intehai bechain aur ghabrahat mein mubtala tha.,Ghanton bheer walay kamray mein intezar karne ke baad main deewaron par charh raha tha.
48,come up roses,"After all the hard work, everything in her life finally started to come up roses.",نصیب جاگ اٹھے,"ساری محنت کے بعد، آخرکار اس کی زندگی میں سب کچھ ٹھیک ہونے لگا اور نصیب جاگ اٹھے۔","ساری محنت کے بعد، آخرکار اس کی زندگی میں سب کچھ خوشگوار اور کامیاب ہونے لگا۔","ساری محنت کے بعد، آخرکار اس کی زندگی میں سب کچھ گلابوں کی طرح اُگنے لگا۔",naseeb jaag uthay,"Saari mehnat ke baad, aakhirkar us ki zindagi mein sab kuch theek hone laga aur naseeb jaag uthay.","Saari mehnat ke baad, aakhirkar us ki zindagi mein sab kuch khushgawaar aur kaamyaab hone laga.","Saari mehnat ke baad, aakhirkar us ki zindagi mein sab kuch gulabon ki tarah ugnay laga."
49,cook his goose,"If he keeps making mistakes, he'll really cook his goose at work.",اپنے پاؤں پر کلہاڑی مارنا,اگر وہ غلطیاں کرتا رہا تو وہ واقعی کام پر اپنے پاؤں پر کلہاڑی مار لے گا۔,اگر وہ غلطیاں کرتا رہا تو وہ اپنی کامیابی کے تمام امکانات برباد کر دے گا۔,اگر وہ غلطیاں کرتا رہا تو وہ واقعی دفتر میں اس کا ہنس پکائے گا۔,apne paon par kulhaari maarna,Agar woh ghaltiyan karta raha to woh waqai kaam par apne paon par kulhaari maar lega.,Agar woh ghaltiyan karta raha to woh apni kaamiyabi ke tamam imkaanat barbaad kar dega.,Agar woh ghaltiyan karta raha to woh waqai daftar mein us ka hans pakaayega.
50,cook the books,The accountant was caught trying to **cook the books** to hide the company's losses.,حساب میں ہیرا پھیری کرنا,اکاؤنٹنٹ کمپنی کے نقصان چھپانے کے لیے حساب میں ہیرا پھیری کرنے کی کوشش کرتے ہوئے پکڑا گیا۔,اکاؤنٹنٹ کمپنی کے نقصان چھپانے کے لیے مالی ریکارڈ میں غلط تبدیلیاں کرنے کی کوشش کرتے ہوئے پکڑا گیا۔,اکاؤنٹنٹ کمپنی کے نقصان چھپانے کے لیے کتابیں پکانے کی کوشش کرتے ہوئے پکڑا گیا۔,Hisaab mein heera pheri karna,Accountant company ke nuqsaan chhupanay ke liye Hisaab mein heera pheri karne ki koshish karte hue pakra gaya.,Accountant company ke nuqsaan chhupanay ke liye maali record mein ghalat tabdeeliyan karne ki koshish karte hue pakra gaya.,Accountant company ke nuqsaan chhupanay ke liye kitaabein pakaane ki koshish karte hue pakra gaya.
51,cool his heels,"After missing the bus, he had to cool his heels at the station for over an hour.",ہاتھ پر ہاتھ دھرے بیٹھنا,بس چھوٹ جانے کے بعد وہ ایک گھنٹے سے زیادہ اسٹیشن پر ہاتھ پر ہاتھ دھرے بیٹھا رہا۔,بس چھوٹ جانے کے بعد وہ ایک گھنٹے سے زیادہ اسٹیشن پر فارغ بیٹھا انتظار کرتا رہا۔,بس چھوٹ جانے کے بعد وہ ایک گھنٹے سے زیادہ اسٹیشن پر اپنی ایڑیاں ٹھنڈی کرتا رہا۔,haath par haath dhare baithna,Bus chhoot janay ke baad woh aik ghantay se zyada station par haath par haath dhare baitha raha.,Bus chhoot janay ke baad woh aik ghantay se zyada station par farigh baitha intezar karta raha.,Bus chhoot janay ke baad woh aik ghantay se zyada station par apni eeriyaan thandi karta raha.
52,cost an arm and a leg,The new car I want to buy will cost an arm and a leg.,سونے کے بھاؤ,جو نئی کار میں خریدنا چاہتا ہوں وہ سونے کے بھاؤ ملے گی۔,جو نئی کار میں خریدنا چاہتا ہوں وہ بہت مہنگی ملے گی۔,جو نئی کار میں خریدنا چاہتا ہوں وہ ایک بازو اور ٹانگ کے برابر قیمت کی ہوگی۔,Sone ke bhao,Jo nai car main khareedna chahta hoon woh Sone ke bhao mile gi.,Jo nai car main khareedna chahta hoon woh bohat mehngi mile gi.,Jo nai car main khareedna chahta hoon woh aik bazu aur taang ke barabar qeemat ki hogi.
53,count the cost,"Before making a decision, we need to count the cost of our actions.",نفع نقصان کا اندازہ لگانا,فیصلہ کرنے سے پہلے ہمیں اپنے اقدامات کے نفع نقصان کا اندازہ لگانا چاہیے۔,فیصلہ کرنے سے پہلے ہمیں اپنے اقدامات کے ممکنہ خطرات اور مشکلات پر غور کرنا چاہیے۔,فیصلہ کرنے سے پہلے ہمیں اپنے اقدامات کی قیمت گننی چاہیے۔,Nafa nuqsan ka andaza lagana,Faisla karne se pehle humein apne iqdaamat ke nafa nuqsan ka andaza lagana chahiye.,Faisla karne se pehle humein apne iqdaamat ke mumkin khatrat aur mushkilat par ghour karna chahiye.,Faisla karne se pehle humein apne iqdaamat ki qeemat ginnni chahiye.
54,cover the territory,"As a project manager, it's important to cover the territory and ensure all aspects are addressed.",ہر پہلو کا جائزہ لینا,"بطور پروجیکٹ مینیجر، یہ ضروری ہے کہ ہر پہلو کا جائزہ لینا اور یقینی بنانا کہ تمام پہلوؤں پر توجہ دی گئی ہے۔","بطور پروجیکٹ مینیجر، یہ ضروری ہے کہ تمام پہلوؤں پر غور کیا جائے اور ہر چیز کو مکمل طور پر دیکھا جائے۔","بطور پروجیکٹ مینیجر، یہ ضروری ہے کہ علاقے کو ڈھانپنا اور یقینی بنانا کہ سب پہلو شامل ہیں۔",Har pehlu ka jaiza lena,"Bator project manager, yeh zaroori hai ke Har pehlu ka jaiza lena aur yaqini banana ke tamam pehluon par tawajjo di gayi hai.","Bator project manager, yeh zaroori hai ke tamam pehluon par ghour kiya jaye aur har cheez ko mukammal tor par dekha jaye.","Bator project manager, yeh zaroori hai ke ilaqe ko dahanpna aur yaqini banana ke sab pehlu shamil hain."
